"","parameter","group","coef","level","inv_metric","mean","step_size","Model"
"151","z_1[1,37]","Participant","Intercept","IllusionGameEEG_sub-15",0.443953775,0,0.026863425,"gam_ddm4_muller"
"152","z_1[1,38]","Participant","Intercept","IllusionGameEEG_sub-150",0.443953775,0,0.026863425,"gam_ddm4_muller"
"153","z_1[1,39]","Participant","Intercept","IllusionGameEEG_sub-151",0.443953775,0,0.026863425,"gam_ddm4_muller"
"154","z_1[1,40]","Participant","Intercept","IllusionGameEEG_sub-152",0.443953775,0,0.026863425,"gam_ddm4_muller"
"155","z_1[1,41]","Participant","Intercept","IllusionGameEEG_sub-153",0.443953775,0,0.026863425,"gam_ddm4_muller"
"156","z_1[1,42]","Participant","Intercept","IllusionGameEEG_sub-16",0.443953775,0,0.026863425,"gam_ddm4_muller"
"157","z_1[1,43]","Participant","Intercept","IllusionGameEEG_sub-17",0.443953775,0,0.026863425,"gam_ddm4_muller"
"158","z_1[1,44]","Participant","Intercept","IllusionGameEEG_sub-18",0.443953775,0,0.026863425,"gam_ddm4_muller"
"159","z_1[1,45]","Participant","Intercept","IllusionGameEEG_sub-19",0.443953775,0,0.026863425,"gam_ddm4_muller"
"160","z_1[1,46]","Participant","Intercept","IllusionGameEEG_sub-2",0.443953775,0,0.026863425,"gam_ddm4_muller"
"161","z_1[1,47]","Participant","Intercept","IllusionGameEEG_sub-20",0.443953775,0,0.026863425,"gam_ddm4_muller"
"162","z_1[1,48]","Participant","Intercept","IllusionGameEEG_sub-21",0.443953775,0,0.026863425,"gam_ddm4_muller"
"163","z_1[1,49]","Participant","Intercept","IllusionGameEEG_sub-22",0.443953775,0,0.026863425,"gam_ddm4_muller"
"164","z_1[1,50]","Participant","Intercept","IllusionGameEEG_sub-23",0.443953775,0,0.026863425,"gam_ddm4_muller"
"165","z_1[1,51]","Participant","Intercept","IllusionGameEEG_sub-24",0.443953775,0,0.026863425,"gam_ddm4_muller"
"166","z_1[1,52]","Participant","Intercept","IllusionGameEEG_sub-25",0.443953775,0,0.026863425,"gam_ddm4_muller"
"167","z_1[1,53]","Participant","Intercept","IllusionGameEEG_sub-26",0.443953775,0,0.026863425,"gam_ddm4_muller"
"168","z_1[1,54]","Participant","Intercept","IllusionGameEEG_sub-27",0.443953775,0,0.026863425,"gam_ddm4_muller"
"169","z_1[1,55]","Participant","Intercept","IllusionGameEEG_sub-28",0.443953775,0,0.026863425,"gam_ddm4_muller"
"170","z_1[1,56]","Participant","Intercept","IllusionGameEEG_sub-29",0.443953775,0,0.026863425,"gam_ddm4_muller"
"171","z_1[1,57]","Participant","Intercept","IllusionGameEEG_sub-3",0.443953775,0,0.026863425,"gam_ddm4_muller"
"172","z_1[1,58]","Participant","Intercept","IllusionGameEEG_sub-30",0.443953775,0,0.026863425,"gam_ddm4_muller"
"173","z_1[1,59]","Participant","Intercept","IllusionGameEEG_sub-31",0.443953775,0,0.026863425,"gam_ddm4_muller"
"174","z_1[1,60]","Participant","Intercept","IllusionGameEEG_sub-32",0.443953775,0,0.026863425,"gam_ddm4_muller"
"175","z_1[1,61]","Participant","Intercept","IllusionGameEEG_sub-33",0.443953775,0,0.026863425,"gam_ddm4_muller"
"176","z_1[1,62]","Participant","Intercept","IllusionGameEEG_sub-34",0.443953775,0,0.026863425,"gam_ddm4_muller"
"177","z_1[1,63]","Participant","Intercept","IllusionGameEEG_sub-35",0.443953775,0,0.026863425,"gam_ddm4_muller"
"178","z_1[1,64]","Participant","Intercept","IllusionGameEEG_sub-36",0.443953775,0,0.026863425,"gam_ddm4_muller"
